Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GBR,746347.1,755151.3,737292.7,718741.8,715941.7,708036.8,729556.5,709653.4,707370.3,683413.0,685565.5,694260.2,676113.0,685036.2,679870.5,673968.0,670485.0,655184.1,634809.6,578809.9,591320.6,548391.8,568538.6,551155.7,511661.1,496302.7,476539.7,461611.7,453433.5,440082.7,,
GEO,49764.18,40311.91,32649.88,27124.47,19964.02,16902.43,15384.05,14567.08,14082.66,13830.49,14245.24,11788.71,11230.14,11755.45,11831.4,12381.26,12740.83,13507.82,12609.97,13366.68,13061.4,14453.16,15341.73,16224.96,16825.49,17145.69,17583.01,17456.88,17142.1,17598.6,,
GHA,11897.85,11977.65,12507.42,12726.72,13064.58,13412.39,14334.5,15262.37,17979.52,17374.09,17631.25,16921.14,18176.9,18676.76,17519.84,19762.23,20942.8,21176.91,20980.61,22167.38,23954.67,25950.33,28536.84,30602.02,30140.48,31605.39,32092.0,34203.9,35832.27,37651.57,,
GIN,8409.041,8725.198,9054.501,9413.61,9827.159,10239.75,9703.303,10009.77,11018.92,10790.05,11466.72,12388.0,13534.85,13672.55,13708.71,15146.02,15445.38,15851.34,16427.3,16936.21,19231.26,20515.97,21769.86,21840.22,22355.96,22848.4,25739.56,26301.31,26617.96,28331.0,,
GMB,4285.868,4442.588,4553.047,4673.221,4207.051,3734.066,3464.678,3118.492,2875.145,2553.214,2288.409,2070.691,1849.117,1754.574,1664.318,1528.041,1617.21,1669.487,1811.365,2169.044,2212.07,1899.965,1984.118,2051.141,2190.106,2347.819,2238.794,2269.745,2130.867,2337.244,,
GRC,95216.71,95287.62,97362.47,97724.41,100346.2,104768.8,105849.5,106922.4,110933.2,112040.7,117812.9,118385.6,118774.9,122108.4,121746.9,123837.2,122178.7,125640.6,121741.6,114963.9,108252.2,105914.5,100931.9,93271.11,90187.28,88451.58,87158.64,86770.42,84063.15,78502.91,,
GRD,1840.597,1859.398,1917.451,1912.781,1932.005,1959.871,1992.132,2019.094,2055.962,2070.659,2069.292,2097.777,2127.515,2145.508,2138.641,2162.343,2187.001,2212.354,2238.55,2764.637,2255.916,2285.179,2402.194,2317.025,2263.995,2293.606,2308.93,2329.609,2372.895,2387.209,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,11297.54,11659.54,12860.88,13501.79,13700.85,14730.61,14547.17,15088.61,16826.36,17334.69,18650.37,19339.87,20518.74,20765.31,21211.6,22553.2,22576.02,24053.87,22850.42,24220.45,24324.54,24915.59,25622.22,26728.21,27934.31,30788.32,32340.52,31774.07,33757.11,35095.24,,
GUY,2609.307,2784.833,2775.4,2913.05,3215.644,3613.919,3684.585,3901.069,3829.514,3954.863,3632.054,3680.414,3567.144,3776.826,3816.552,3452.958,3272.083,3579.964,3735.87,3759.243,3986.535,4084.715,4344.287,4507.129,4718.862,4846.081,4873.461,4975.085,5178.206,5680.19,,
